time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw
1562625434.66,-0.028076171875,0.0110107421875,0.089599609375,-0.128244274809,-0.0801526717557,-0.0809160305344,-460.0,180.4,1468.0,-16.8,-10.5,-10.6
1562625434.77,-0.0529052734375,0.0213110351563,0.1724609375,-0.251297709924,-0.16679389313,-0.156030534351,-866.8,349.16,2825.6,-32.92,-21.85,-20.44
1562625434.87,-0.0752270507812,0.0301418457031,0.246596679688,-0.360519083969,-0.247824427481,-0.240427480916,-1232.52,493.844,4040.24,-47.228,-32.465,-31.496
1562625434.98,-0.0951945800781,0.0395544189453,0.314100097656,-0.450421374046,-0.296324427481,-0.314094656489,-1559.668,648.0596,5146.216,-59.0052,-38.8185,-41.1464
1562625435.08,-0.11350715332,0.0451204614258,0.374096337891,-0.513012824427,-0.368982061069,-0.378868396947,-1859.7012,739.25364,6129.1944,-67.20468,-48.33665,-49.63176
1562625435.19,-0.129695500488,0.0516435715332,0.427873227539,-0.616673374046,-0.395442633588,-0.415790717557,-2124.93108,846.128276,7010.27496,-80.784212,-51.802985,-54.468584
1562625435.3,-0.144582395752,0.0576608550049,0.476101529785,-0.680196876336,-0.417730431298,-0.476501722137,-2368.837972,944.7154484,7800.447464,-89.1057908,-54.7226865,-62.4217256
1562625435.41,-0.157785288989,0.0630031679419,0.519922040869,-0.74118482229,-0.449239830916,-0.533431702595,-2585.1541748,1032.24390356,8518.4027176,-97.09521172,-58.85041785,-69.87955304
1562625435.52,-0.169912033528,0.0677135933352,0.558896633657,-0.776990004183,-0.491338748588,-0.586195402565,-2783.83875732,1109.4195132,9156.96244584,-101.785690548,-64.365376065,-76.791597736
1562625435.63,-0.18080168955,0.0723436011892,0.594071423417,-0.82982535491,-0.490296476782,-0.623759068415,-2962.25488159,1185.27756188,9733.26620126,-108.707121493,-64.2288384585,-81.7124379624
1562625435.74,-0.19030941122,0.0761932254453,0.625679906075,-0.886537475907,-0.509205760402,-0.680467131039,-3118.02939343,1248.3498057,10251.1395811,-116.136409344,-66.7059546127,-89.1411941662
1562625435.85,-0.198719876348,0.0795846450882,0.654518165467,-0.939868461141,-0.539201214896,-0.717000570607,-3255.82645409,1303.91482513,10723.625623,-123.122768409,-70.6353591514,-93.9270747495
1562625435.96,-0.206386951213,0.0824416102669,0.680497012983,-0.968782378386,-0.548639872032,-0.757514254005,-3381.44380868,1350.72334261,11149.2630607,-126.910491569,-71.8718232362,-99.2343672746
1562625436.07,-0.213848842029,0.0853546758027,0.703755905435,-0.968850705433,-0.555607945898,-0.775655958375,-3503.69942781,1398.45100835,11530.3367546,-126.919442412,-72.7846409126,-101.610930547
1562625436.18,-0.219954192201,0.088171747285,0.724566838329,-1.01395036771,-0.561879212377,-0.795800286202,-3603.72948503,1444.60590752,11871.3030792,-132.827498171,-73.6061768214,-104.249837492
1562625436.29,-0.225229280794,0.0639248850565,0.753184373246,-1.03698281186,-0.578210375109,-0.819273692696,-3690.15653653,1047.34531676,12340.1727713,-135.844748353,-75.7455591392,-107.324853743
1562625436.4,-0.242623344902,0.0685919668633,0.786825896859,-0.253131858917,-6.28680155134,-6.66253716312,-3975.14088287,1123.81078509,12891.3554941,-33.1602735181,-823.571003225,-872.792368369
1562625436.51,-0.241676440099,0.0940325748645,0.806678463423,-1.26293317684,-13.7054496405,-7.79704680559,-3959.62679459,1540.62970658,13216.6199447,-165.444246166,-1795.4139029,-1021.41313153
1562625436.62,-0.213749030464,0.078818770503,0.816147335831,-21.2999986378,-23.5043703253,-2.99062456778,-3502.06411513,1291.36673592,13371.7579502,-2790.29982155,-3079.07251261,-391.771818379
1562625436.73,-0.181436627418,0.0144915809527,0.818980844435,-17.9783957206,-23.2340859645,-12.7427071492,-2972.65770361,237.43006233,13418.1821552,-2355.16983939,-3043.66526135,-1669.29463654
1562625436.84,-0.0936640584261,-0.03878863183,0.831198970929,-12.4599454615,-17.9602956887,-24.348589106,-1534.59193325,-635.512943903,13618.3639397,-1632.25285546,-2352.79873522,-3189.66517289
1562625436.95,-0.046040816646,-0.0675513702095,0.857795870711,-11.9475387016,-12.684113448,-27.9511347756,-754.332739928,-1106.76164951,14054.1275457,-1565.12756991,-1661.61886169,-3661.5986556
1562625437.07,0.00780642908111,-0.113823576939,0.858295580515,-4.33064742686,-13.2851677521,-39.5186167178,127.900534065,-1864.88548456,14062.3147912,-567.314812919,-1740.35697553,-5176.93879004
1562625437.18,0.0392767627355,-0.0919675864322,0.831523639651,-7.04567428723,-22.387185328,-36.8369840537,643.510480658,-1506.79693611,13623.683312,-922.983331627,-2932.72127797,-4825.64491103
